tempo_sk,data_completa,ano,mes,dia,dia_semana,trimestre,trimestre_fiscal,eh_fim_mes,eh_fim_trimestre,eh_fim_ano,eh_feriado_bancario
128,2014-01-06,2014,1,6,Monday,1,1,False,False,False,False
129,2014-01-07,2014,1,7,Tuesday,1,1,False,False,False,False
130,2014-01-08,2014,1,8,Wednesday,1,1,False,False,False,False
131,2014-01-09,2014,1,9,Thursday,1,1,False,False,False,False
132,2014-01-10,2014,1,10,Friday,1,1,False,False,False,False
133,2014-01-11,2014,1,11,Saturday,1,1,False,False,False,False
134,2014-01-12,2014,1,12,Sunday,1,1,False,False,False,False
135,2014-01-13,2014,1,13,Monday,1,1,False,False,False,False
136,2014-01-14,2014,1,14,Tuesday,1,1,False,False,False,False
137,2014-01-15,2014,1,15,Wednesday,1,1,False,False,False,False
138,2014-01-16,2014,1,16,Thursday,1,1,False,False,False,False
139,2014-01-17,2014,1,17,Friday,1,1,False,False,False,False
140,2014-01-18,2014,1,18,Saturday,1,1,False,False,False,False
141,2014-01-19,2014,1,19,Sunday,1,1,False,False,False,False
142,2014-01-20,2014,1,20,Monday,1,1,False,False,False,True
143,2014-01-21,2014,1,21,Tuesday,1,1,False,False,False,False
144,2014-01-22,2014,1,22,Wednesday,1,1,False,False,False,False
145,2014-01-23,2014,1,23,Thursday,1,1,False,False,False,False
146,2014-01-24,2014,1,24,Friday,1,1,False,False,False,False
147,2014-01-25,2014,1,25,Saturday,1,1,False,False,False,False
148,2014-01-26,2014,1,26,Sunday,1,1,False,False,False,False
149,2014-01-27,2014,1,27,Monday,1,1,False,False,False,False
150,2014-01-28,2014,1,28,Tuesday,1,1,False,False,False,False
151,2014-01-29,2014,1,29,Wednesday,1,1,False,False,False,False
152,2014-01-30,2014,1,30,Thursday,1,1,False,False,False,False
153,2014-01-31,2014,1,31,Friday,1,1,True,False,False,False
154,2014-02-01,2014,2,1,Saturday,1,1,False,False,False,False
155,2014-02-02,2014,2,2,Sunday,1,1,False,False,False,False
156,2014-02-03,2014,2,3,Monday,1,1,False,False,False,False
157,2014-02-04,2014,2,4,Tuesday,1,1,False,False,False,False
158,2014-02-05,2014,2,5,Wednesday,1,1,False,False,False,False
159,2014-02-06,2014,2,6,Thursday,1,1,False,False,False,False
160,2014-02-07,2014,2,7,Friday,1,1,False,False,False,False
161,2014-02-08,2014,2,8,Saturday,1,1,False,False,False,False
162,2014-02-09,2014,2,9,Sunday,1,1,False,False,False,False
163,2014-02-10,2014,2,10,Monday,1,1,False,False,False,False
164,2014-02-11,2014,2,11,Tuesday,1,1,False,False,False,False
165,2014-02-12,2014,2,12,Wednesday,1,1,False,False,False,False
166,2014-02-13,2014,2,13,Thursday,1,1,False,False,False,False
167,2014-02-14,2014,2,14,Friday,1,1,False,False,False,False
168,2014-02-15,2014,2,15,Saturday,1,1,False,False,False,False
169,2014-02-16,2014,2,16,Sunday,1,1,False,False,False,False
170,2014-02-17,2014,2,17,Monday,1,1,False,False,False,True
171,2014-02-18,2014,2,18,Tuesday,1,1,False,False,False,False
172,2014-02-19,2014,2,19,Wednesday,1,1,False,False,False,False
173,2014-02-20,2014,2,20,Thursday,1,1,False,False,False,False
174,2014-02-21,2014,2,21,Friday,1,1,False,False,False,False
175,2014-02-22,2014,2,22,Saturday,1,1,False,False,False,False
176,2014-02-23,2014,2,23,Sunday,1,1,False,False,False,False
177,2014-02-24,2014,2,24,Monday,1,1,False,False,False,False
178,2014-02-25,2014,2,25,Tuesday,1,1,False,False,False,False
179,2014-02-26,2014,2,26,Wednesday,1,1,False,False,False,False
180,2014-02-27,2014,2,27,Thursday,1,1,False,False,False,False
181,2014-02-28,2014,2,28,Friday,1,1,True,False,False,False
182,2014-03-01,2014,3,1,Saturday,1,1,False,False,False,False
183,2014-03-02,2014,3,2,Sunday,1,1,False,False,False,False
184,2014-03-03,2014,3,3,Monday,1,1,False,False,False,False
185,2014-03-04,2014,3,4,Tuesday,1,1,False,False,False,False
186,2014-03-05,2014,3,5,Wednesday,1,1,False,False,False,False
187,2014-03-06,2014,3,6,Thursday,1,1,False,False,False,False
188,2014-03-07,2014,3,7,Friday,1,1,False,False,False,False
189,2014-03-08,2014,3,8,Saturday,1,1,False,False,False,False
190,2014-03-09,2014,3,9,Sunday,1,1,False,False,False,False
191,2014-03-10,2014,3,10,Monday,1,1,False,False,False,False
192,2014-03-11,2014,3,11,Tuesday,1,1,False,False,False,False
193,2014-03-12,2014,3,12,Wednesday,1,1,False,False,False,False
194,2014-03-13,2014,3,13,Thursday,1,1,False,False,False,False
195,2014-03-14,2014,3,14,Friday,1,1,False,False,False,False
196,2014-03-15,2014,3,15,Saturday,1,1,False,False,False,False
197,2014-03-16,2014,3,16,Sunday,1,1,False,False,False,False
198,2014-03-17,2014,3,17,Monday,1,1,False,False,False,False
199,2014-03-18,2014,3,18,Tuesday,1,1,False,False,False,False
200,2014-03-19,2014,3,19,Wednesday,1,1,False,False,False,False
201,2014-03-20,2014,3,20,Thursday,1,1,False,False,False,False
202,2014-03-21,2014,3,21,Friday,1,1,False,False,False,False
203,2014-03-22,2014,3,22,Saturday,1,1,False,False,False,False
204,2014-03-23,2014,3,23,Sunday,1,1,False,False,False,False
205,2014-03-24,2014,3,24,Monday,1,1,False,False,False,False
206,2014-03-25,2014,3,25,Tuesday,1,1,False,False,False,False
207,2014-03-26,2014,3,26,Wednesday,1,1,False,False,False,False
208,2014-03-27,2014,3,27,Thursday,1,1,False,False,False,False
209,2014-03-28,2014,3,28,Friday,1,1,False,False,False,False
210,2014-03-29,2014,3,29,Saturday,1,1,False,False,False,False
211,2014-03-30,2014,3,30,Sunday,1,1,False,False,False,False
212,2014-03-31,2014,3,31,Monday,1,1,True,True,False,False
213,2014-04-01,2014,4,1,Tuesday,2,2,False,False,False,False
214,2014-04-02,2014,4,2,Wednesday,2,2,False,False,False,False
215,2014-04-03,2014,4,3,Thursday,2,2,False,False,False,False
216,2014-04-04,2014,4,4,Friday,2,2,False,False,False,False
217,2014-04-05,2014,4,5,Saturday,2,2,False,False,False,False
218,2014-04-06,2014,4,6,Sunday,2,2,False,False,False,False
219,2014-04-07,2014,4,7,Monday,2,2,False,False,False,False
220,2014-04-08,2014,4,8,Tuesday,2,2,False,False,False,False
221,2014-04-09,2014,4,9,Wednesday,2,2,False,False,False,False
222,2014-04-10,2014,4,10,Thursday,2,2,False,False,False,False
223,2014-04-11,2014,4,11,Friday,2,2,False,False,False,False
224,2014-04-12,2014,4,12,Saturday,2,2,False,False,False,False
225,2014-04-13,2014,4,13,Sunday,2,2,False,False,False,False
226,2014-04-14,2014,4,14,Monday,2,2,False,False,False,False
227,2014-04-15,2014,4,15,Tuesday,2,2,False,False,False,False
228,2014-04-16,2014,4,16,Wednesday,2,2,False,False,False,False
229,2014-04-17,2014,4,17,Thursday,2,2,False,False,False,False
230,2014-04-18,2014,4,18,Friday,2,2,False,False,False,False
231,2014-04-19,2014,4,19,Saturday,2,2,False,False,False,False
232,2014-04-20,2014,4,20,Sunday,2,2,False,False,False,False
